Commodity,Exporter,Destination,Tons,Year
RUBBER,38,96,12.70495444,2013
RUBBER,38,97,136.9228477,2013
RUBBER,38,98,1.465290743,2013
RUBBER,38,99,1.870323986,2013
RUBBER,38,100,2285.184393,2013
RUBBER,38,101,13.14036929,2013
RUBBER,38,102,341.2743076,2013
RUBBER,38,103,0.160476163,2013
RUBBER,38,104,2.136256791,2013
RUBBER,38,105,14.28449737,2013
RUBBER,38,106,1049.296822,2013
RUBBER,38,108,0.200111034,2013
RUBBER,38,109,21.06180909,2013
RUBBER,38,110,1658.949269,2013
RUBBER,38,112,30.51424765,2013
RUBBER,38,114,228.4679427,2013
RUBBER,38,116,2.845064808,2013
RUBBER,38,117,358.6117959,2013
RUBBER,38,118,17.36353196,2013
RUBBER,38,119,2.077011536,2013
RUBBER,38,121,0.030150803,2013
RUBBER,38,122,1.440638976,2013
RUBBER,38,126,9.742651387,2013
RUBBER,38,131,6184.173922,2013
RUBBER,38,133,0.058829896,2013
RUBBER,38,134,17.28094879,2013
RUBBER,38,136,0.099065693,2013
RUBBER,38,137,0.043175382,2013
RUBBER,38,138,265.2076611,2013
RUBBER,38,143,43.63471751,2013
RUBBER,38,144,0.475682681,2013
RUBBER,38,146,0.022216658,2013
RUBBER,38,147,2.405595272,2013
RUBBER,38,149,0.543474552,2013
RUBBER,38,150,59.84445627,2013
RUBBER,38,153,0.091560314,2013
RUBBER,38,154,0.431740751,2013
RUBBER,38,156,207.6122903,2013
RUBBER,38,157,0.055994083,2013
RUBBER,38,159,0.739541544,2013
RUBBER,38,162,4.876724672,2013
RUBBER,38,165,3985.269935,2013
RUBBER,38,167,247.7457839,2013
RUBBER,38,170,26.90059027,2013
RUBBER,38,171,0.327846728,2013
RUBBER,38,173,315.697745,2013
RUBBER,38,174,98.46493582,2013
RUBBER,38,178,0.803066546,2013
RUBBER,38,179,1.760583249,2013
RUBBER,38,181,40.54826931,2013
RUBBER,38,183,130.7517202,2013
RUBBER,38,184,1.049855038,2013
RUBBER,38,185,138.3646455,2013
RUBBER,38,195,0.89099427,2013
RUBBER,38,196,0.012175716,2013
RUBBER,38,198,81.07554956,2013
RUBBER,38,199,356.6827587,2013
RUBBER,38,200,74.38285288,2013
RUBBER,38,201,0.335626137,2013
RUBBER,38,202,575.5080892,2013
RUBBER,38,203,183.7720654,2013
RUBBER,38,209,0.095136536,2013
RUBBER,38,210,105.8626977,2013
RUBBER,38,211,38.61179201,2013
RUBBER,38,212,0.019254005,2013
RUBBER,38,214,172.4470841,2013
RUBBER,38,216,4.631424207,2013
RUBBER,38,221,0.544303084,2013
RUBBER,38,222,26.87940173,2013
RUBBER,38,223,216.1280252,2013
RUBBER,38,225,36.52059081,2013
RUBBER,38,229,75.40961267,2013
RUBBER,38,230,9.968689181,2013
RUBBER,38,231,1106.038186,2013
RUBBER,38,233,0.063901919,2013
RUBBER,38,234,16.70657347,2013
RUBBER,38,235,0.137515628,2013
RUBBER,38,236,38.81585451,2013
RUBBER,38,237,258.3121849,2013
RUBBER,38,238,79.16417659,2013
RUBBER,38,249,0.78470106,2013
RUBBER,38,250,0.606600092,2013
RUBBER,38,251,0.367948646,2013
RUBBER,38,256,130.3286391,2013
RUBBER,38,272,47.33927846,2013
RUBBER,38,273,1.620438888,2013
RUBBER,41,4,3.172149944,2013
RUBBER,41,9,7.198857465,2013
RUBBER,41,10,17.20972044,2013
RUBBER,41,11,1.762011732,2013
RUBBER,41,13,0.265671674,2013
RUBBER,41,16,0.126590551,2013
RUBBER,41,19,68.94431748,2013
RUBBER,41,20,0.719703167,2013
RUBBER,41,21,68.90655254,2013
RUBBER,41,27,1.930222772,2013
RUBBER,41,28,0.019725402,2013
RUBBER,41,33,27.76935062,2013
RUBBER,41,38,4.244022899,2013
RUBBER,41,40,3.333467659,2013
RUBBER,41,44,2.337856943,2013
RUBBER,41,48,5.30924811,2013
RUBBER,41,49,4.664768386,2013
RUBBER,41,52,0.04818387,2013
RUBBER,41,54,0.246177952,2013
RUBBER,41,56,0.285958256,2013
RUBBER,41,57,2.371080871,2013
RUBBER,41,58,0.154872473,2013
RUBBER,41,59,12.54493612,2013
RUBBER,41,60,1.015030741,2013
RUBBER,41,63,0.091675176,2013
RUBBER,41,67,5.751745272,2013
RUBBER,41,68,29.97230973,2013
RUBBER,41,79,67.81704036,2013
RUBBER,41,80,0.283629706,2013
RUBBER,41,81,0.381357578,2013
RUBBER,41,84,0.403012846,2013
RUBBER,41,89,4.019721636,2013
RUBBER,41,95,0.031945139,2013
RUBBER,41,96,7.379373968,2013
RUBBER,41,97,8.339263994,2013
RUBBER,41,98,0.18592439,2013
RUBBER,41,100,76.64793426,2013
RUBBER,41,101,36.99272929,2013
RUBBER,41,102,335.5466276,2013
RUBBER,41,103,0.018028806,2013
RUBBER,41,104,0.852860184,2013
RUBBER,41,105,21.74053994,2013
RUBBER,41,106,15.67459933,2013
RUBBER,41,108,11.42946012,2013
RUBBER,41,109,0.025446208,2013
RUBBER,41,110,99.07743588,2013
RUBBER,41,112,0.834828299,2013
RUBBER,41,114,1.521194223,2013
RUBBER,41,116,719.2974126,2013
RUBBER,41,117,43.63997337,2013
RUBBER,41,118,1.747115252,2013
RUBBER,41,119,0.841949179,2013
RUBBER,41,121,0.020962646,2013
RUBBER,41,122,0.396340622,2013
RUBBER,41,126,1.316269688,2013
RUBBER,41,131,819.0944381,2013
RUBBER,41,133,0.554034107,2013
RUBBER,41,134,0.73742995,2013
RUBBER,41,136,6.482182157,2013
RUBBER,41,137,10.50063319,2013
RUBBER,41,138,14.12063858,2013
RUBBER,41,143,2.57433476,2013
RUBBER,41,144,0.130867186,2013
RUBBER,41,147,0.661814057,2013
RUBBER,41,149,2.089193587,2013
RUBBER,41,150,3.696065573,2013
RUBBER,41,154,0.028215455,2013
RUBBER,41,156,41.81708729,2013
RUBBER,41,159,0.035976013,2013
RUBBER,41,162,0.139252791,2013
RUBBER,41,165,22.77380898,2013
RUBBER,41,167,25.11796149,2013
RUBBER,41,170,1.337895732,2013
RUBBER,41,171,6.091413058,2013
RUBBER,41,173,24.20900806,2013
RUBBER,41,174,12.8915398,2013
RUBBER,41,178,0.035437595,2013
RUBBER,41,179,1.950263374,2013
RUBBER,41,181,3.151326233,2013
RUBBER,41,183,6.022961908,2013
RUBBER,41,184,2.597700009,2013
RUBBER,41,185,54.99930639,2013
RUBBER,41,195,0.597297357,2013
RUBBER,41,198,0.92866108,2013
RUBBER,41,199,14.92117457,2013
RUBBER,41,200,0.981436992,2013
RUBBER,41,201,0.011257319,2013
RUBBER,41,202,158.3306003,2013
RUBBER,41,203,33.26516504,2013
RUBBER,41,209,0.026173437,2013
RUBBER,41,210,5.55009788,2013
RUBBER,41,211,0.135939211,2013
RUBBER,41,214,24.4822279,2013
RUBBER,41,216,0.604966885,2013
RUBBER,41,221,0.064141738,2013
RUBBER,41,222,4.512666478,2013
RUBBER,41,223,24.28105264,2013
RUBBER,41,225,3.801543034,2013
RUBBER,41,229,28.58676697,2013
RUBBER,41,230,0.972191182,2013
RUBBER,41,231,293.4573612,2013
RUBBER,41,233,3.658742842,2013
RUBBER,41,234,4.57119055,2013
RUBBER,41,235,5.710959806,2013
RUBBER,41,236,14.95576773,2013
RUBBER,41,237,26.21154951,2013
RUBBER,41,238,1.921720133,2013
RUBBER,41,249,1.587862938,2013
RUBBER,41,250,13.29189575,2013
RUBBER,41,251,9.89109893,2013
RUBBER,41,256,8.393517851,2013
RUBBER,41,272,5.163864084,2013
RUBBER,41,273,0.212745761,2013
RUBBER,46,1,0.011139297,2013
RUBBER,46,3,0.015885718,2013
RUBBER,46,4,0.218352309,2013
RUBBER,46,9,4.837915877,2013
RUBBER,46,10,0.762720912,2013
RUBBER,46,11,32.7553643,2013
RUBBER,46,13,0.207920755,2013
RUBBER,46,16,0.119065644,2013
RUBBER,46,19,0.090918872,2013
RUBBER,46,20,0.022378578,2013
RUBBER,46,21,28.97641322,2013
RUBBER,46,27,2.375193611,2013
RUBBER,46,28,0.019139324,2013
RUBBER,46,33,5.48546559,2013
RUBBER,46,38,0.297837485,2013
RUBBER,46,40,0.22035634,2013
RUBBER,46,41,357.5381057,2013
RUBBER,46,44,0.222023235,2013
RUBBER,46,48,1.291159224,2013
RUBBER,46,49,0.049952402,2013
RUBBER,46,52,0.976610011,2013
RUBBER,46,54,0.280454418,2013
RUBBER,46,56,0.274405133,2013
RUBBER,46,57,2.056710652,2013
RUBBER,46,58,0.059318583,2013
RUBBER,46,59,7.736698208,2013
RUBBER,46,63,0.189255593,2013
RUBBER,46,67,6.031168773,2013
