exporter,tons,year
9,120.8095341,1991
9,86718.80582,1991
9,10.76684157,1991
9,0.164578638,1991
9,822.5111399,1991
9,59510.73245,1991
9,0.445675704,1991
9,56.94321751,1991
9,843.3687443,1991
9,133.9521064,1991
9,408.4888614,1991
9,0.521686557,1991
9,5195.834829,1991
9,88546.43071,1991
9,112195.6807,1991
9,13999.50176,1991
9,35.94518112,1991
9,11.20063994,1991
9,8.78608031,1991
9,157853.0298,1991
9,30003.86998,1991
9,312901.1098,1991
9,336.4250068,1991
9,641463.9143,1991
9,62724.78405,1991
9,28082.50075,1991
9,44099.17683,1991
9,231.3851343,1991
9,79.20341111,1991
9,357.1675774,1991
9,246.0424198,1991
9,4076.438624,1991
9,35087.47116,1991
9,458395.0495,1991
9,61.24407352,1991
9,100.9830657,1991
9,36976.51255,1991
9,125.1344575,1991
9,0.693241117,1991
9,1515988.976,1991
9,1004.236301,1991
9,4.47777855,1991
9,123423.3504,1991
9,0.087549695,1991
9,153.0931399,1991
9,21418.19662,1991
9,158.9333848,1991
9,0.094692186,1991
9,312.606948,1991
9,47.22986544,1991
9,888.4767869,1991
9,13348.59709,1991
9,1712.652531,1991
9,4812.584763,1991
9,40748.15978,1991
9,569753.7962,1991
9,35.69550764,1991
9,55940.45244,1991
9,7548.568634,1991
9,783376.7431,1991
9,10.14836362,1991
9,87.93597984,1991
9,55521.90548,1991
9,5304.799208,1991
9,142.7250869,1991
9,2785.382182,1991
9,53119.0116,1991
9,202.8179204,1991
9,1.747585613,1991
9,22692.71894,1991
9,1.51298186,1991
9,22598.41499,1991
9,11.43424664,1991
9,593.0108888,1991
9,20.25528377,1991
9,114975.293,1991
9,153.598065,1991
9,0.011685776,1991
9,6034.854436,1991
9,261.3112769,1991
9,309.1757444,1991
9,19776.95081,1991
9,32092.49385,1991
9,0.020205295,1991
9,10139.03307,1991
9,161.033771,1991
9,695.1276953,1991
9,602200.4327,1991
9,40.16334473,1991
9,102.9033106,1991
9,9575.699194,1991
9,308.8864591,1991
9,20.2389118,1991
9,25973.50579,1991
9,43972.44412,1991
9,2927.967732,1991
9,95.17090857,1991
9,428.9641265,1991
9,82315.04194,1991
9,10887.39495,1991
9,120264.449,1991
9,334130.1259,1991
9,431.6369052,1991
9,3743.930282,1991
9,2246.894172,1991
9,20337.61362,1991
9,315826.6635,1991
9,0.093612876,1991
9,3858.5625,1991
9,89.80462883,1991
9,9.56781387,1991
9,23670.83787,1991
