EXPORTER,YEAR,dfrs_risk,sum_soy_vol,dfrs_risk_per_ton,dfrs_risk_per_000ton
GAVILON,2016,226.14145266381968,566172.6688676504,3.99421351645434e-4,0.399421351645434
GLENCORE,2006,5.6418616388475735,33741.6154798402,1.6720781025491947e-4,0.1672078102549195
GLENCORE,2007,0,1430.0230933607947,0,0
GLENCORE,2008,0,2059.76743729672,0,0
GLENCORE,2009,0,1113.992980465825,0,0
GLENCORE,2010,0,697.659510098808,0,0
GLENCORE,2011,31.56441261563603,12192.686944313713,0.002588798741392822,2.588798741392822
GLENCORE,2012,915.8978157975638,282880.0869116365,0.0032377599490898894,3.2377599490898894
GLENCORE,2013,226.52671709044446,356410.7790135992,6.355776267973117e-4,0.6355776267973117
GLENCORE,2014,44.473461990098755,94034.41734820203,4.7294876965544474e-4,0.47294876965544475
GLENCORE,2015,1069.8518439981003,197536.14367459394,0.0054159802054275855,5.415980205427585
GLENCORE,2016,1644.21573364549,1138978.694541832,0.0014435877874843794,1.4435877874843794
GRANOL,2006,35.171417378495754,341475.1090030592,1.0299848056620917e-4,0.10299848056620918
GRANOL,2007,38.5282454540515,390279.7647859078,9.871955691883382e-5,0.09871955691883381
GRANOL,2008,58.63376878359008,507948.7564052267,1.154324487346786e-4,0.11543244873467859
GRANOL,2009,44.346440401536725,454081.0031131388,9.766195920441835e-5,0.09766195920441835
GRANOL,2010,72.85077517036144,574866.4539863745,1.2672643300923618e-4,0.12672643300923617
GRANOL,2011,31.401430796127638,458108.09212171123,6.8545898525156e-5,0.068545898525156
GRANOL,2012,232.11618217711643,522672.17193712114,4.4409516067566844e-4,0.44409516067566845
GRANOL,2013,0,543148.3333846813,0,0
GRANOL,2014,181.41142251597134,760817.7379344417,2.3844268274881262e-4,0.2384426827488126
GRANOL,2015,457.3721845925831,645289.7205922758,7.08785790315684e-4,0.708785790315684
GRANOL,2016,642.2800053266396,390799.4512148711,0.0016435028333074563,1.6435028333074562
IMCOPA,2007,0,688.53787809508,0,0
IMCOPA,2008,0,6062.78847439199,0,0
IMCOPA,2009,0,5427.6188694003,0,0
IMCOPA,2010,0,139.627225972,0,0
IMCOPA,2011,0,3183.644635215092,0,0
LIBERO TRADING,2006,0,23300,0,0
LOUIS DREYFUS,2006,367.5797017236664,1081418.4030217447,3.3990516593444294e-4,0.3399051659344429
LOUIS DREYFUS,2007,279.7937234831133,977135.8467019676,2.863406602341671e-4,0.2863406602341671
LOUIS DREYFUS,2008,227.03183234714237,1330536.3688303656,1.7063181260255157e-4,0.17063181260255159
LOUIS DREYFUS,2009,282.6622014517204,1950667.6119051385,1.4490536456677805e-4,0.14490536456677805
LOUIS DREYFUS,2010,1226.1702769572428,2020587.7747327196,6.068384122137128e-4,0.6068384122137128
LOUIS DREYFUS,2011,77.78092165807858,2412938.1410255167,3.223494226214233e-5,0.03223494226214233
LOUIS DREYFUS,2012,1248.946894964629,2002325.5437285176,6.237481706590892e-4,0.6237481706590892
LOUIS DREYFUS,2013,150.66239979540862,2055121.7945104286,7.331069146259501e-5,0.07331069146259502
LOUIS DREYFUS,2014,1073.4742844445382,2169121.195289742,4.948890300715299e-4,0.4948890300715299
LOUIS DREYFUS,2015,375.42816555486985,1753405.3119959405,2.141137379853786e-4,0.2141137379853786
LOUIS DREYFUS,2016,12.8922834373363,1208431.0446226199,1.0668613235902444e-5,0.010668613235902444
MULTIGRAIN,2007,1024.5705316147041,505960.6637632608,0.0020250003705705095,2.0250003705705093
MULTIGRAIN,2008,4085.0847568294093,542807.771697386,0.007525840582671012,7.5258405826710115
MULTIGRAIN,2009,10876.39369254508,1103953.2465395124,0.009852223114193084,9.852223114193084
MULTIGRAIN,2010,5371.047279950548,1202535.5648773243,0.004466435286259888,4.4664352862598875
MULTIGRAIN,2011,2156.3908411617977,915622.5528860093,0.002355108919461334,2.355108919461334
MULTIGRAIN,2012,4743.225270407526,827137.1363234466,0.005734508900774005,5.734508900774005
MULTIGRAIN,2013,5359.471052752974,875032.5344033288,0.006124882038137605,6.124882038137605
MULTIGRAIN,2014,2053.961847418911,1419984.8847918871,0.0014464674021652981,1.4464674021652981
MULTIGRAIN,2015,1954.825131357,1248563.154770897,0.0015656597937296149,1.5656597937296148
MULTIGRAIN,2016,686.0810191421283,1085056.4740683616,6.322998254364622e-4,0.6322998254364622
NIDERA,2009,0,1918.3902076914667,0,0
NIDERA,2010,77.25999738098632,182339.52395322776,4.2371503284611197e-4,0.42371503284611195
NIDERA,2011,65.12344132766161,185605.32496508266,3.508705439346262e-4,0.3508705439346262
NIDERA,2012,233.1229566517996,461192.4959453174,5.054786422184989e-4,0.5054786422184989
NIDERA,2013,549.1992830771015,504667.9335328053,0.001088238912333037,1.0882389123330372
NIDERA,2014,1047.5461898518968,997110.0158764207,0.0010505823561817746,1.0505823561817746
NOBLE,2006,9.802151142505656,44827.4489284885,2.1866404126950542e-4,0.21866404126950542
NOBLE,2007,7.796102065581341,80077.7193658441,9.73566945627406e-5,0.0973566945627406
NOBLE,2008,25.067281996110754,134924.303667404,1.8578774405167965e-4,0.18578774405167964
